age_group,user_count,total_amount
18岁以下,307,1312418.01
18-25岁,1932,9489963.38
26-35岁,2608,13511256.03
36-45岁,2607,13477373.76
46-60岁,3698,21151642.04
60岁以上,1400,6558524.12
